타임스탬프	내 컴퓨터(개발을 위해 일상적으로 쓸 컴퓨터 기준)의 운영체제는... 	나는 Python / Kotlin 에 대해 이 정도로 자신 있다. ( 본인이 수강하려는 세미나 기준 )	나는 관계형 데이터베이스에 대해 이 정도로 자신 있다.	나는 프로그래밍 또는 개발 경험이 이 정도 된다.	내 전공은...	내 학년은... (학번보다는 수강한 학점 기준으로 대략!)	내가 Backend 세미나를 택한 이유는...	내가 와플스튜디오에 함께하려는 이유는...	세미나 진행에 있어 하고 싶은 말이나 바라는 점이 있다면?
2021. 8. 27 오후 10:24:31	Ubuntu (Linux)	2	2	3	타 전공	3학년			
2021. 8. 27 오후 10:26:47	MacOS	2	1	2	컴퓨터공학부 주전공	1학년			
2021. 8. 27 오후 10:27:56	MacOS	4	5	5	컴퓨터공학부 주전공	2학년			
2021. 8. 27 오후 10:30:03	Windows	4	2	3	타 전공	4학년 이상			
2021. 8. 27 오후 10:32:19	MacOS	5	3	5	컴퓨터공학부 주전공	3학년			
2021. 8. 27 오후 10:32:37	Windows	3	1	2	컴퓨터공학부 주전공	2학년			
2021. 8. 27 오후 10:36:17	Ubuntu (Linux)	3	2	2	컴퓨터공학부 주전공	2학년			
2021. 8. 27 오후 10:36:18	Ubuntu (Linux)	4	2	3	타 전공	1학년			
2021. 8. 27 오후 10:38:23	Ubuntu (Linux)	2	1	1	타 전공	2학년			
2021. 8. 27 오후 10:45:06	MacOS	4	1	4	컴퓨터공학부 주전공	2학년			
2021. 8. 27 오후 10:49:06	Windows	4	1	4	컴퓨터공학부 주전공	3학년			
2021. 8. 27 오후 10:59:46	Ubuntu (Linux)	3	1	3	컴퓨터공학부 주전공	1학년			
